Metric,Card Name,"Feb 10 2025, 12:00AM - Feb 5 2026, 11:42AM"
Total Events of Sent,1945_January Baby Kerrie McNeill,26
Total Events of Sent,1946_July Baby Kerrie McNeill,191
Total Events of Sent,1948_June Baby Kerrie McNeill,47
Total Events of Sent,1949_March Baby Kerrie McNeill,88
Total Events of Sent,1951_April Baby Kerrie McNeill,143
Total Events of Sent,1952_August Baby Kerrie McNeill,224
Total Events of Sent,1953_December Baby Kerrie McNeill,4
Total Events of Sent,1954_February Baby Kerrie McNeill,54
Total Events of Sent,1962_Disco Ball Nysha Lilly,98
Total Events of Sent,1968_Let The Good Times Roll Queenbe Monyei,34
Total Events of Sent,1985_Cheers To You Babe Jaclyn Caris,188
Total Events of Sent,1992_Club Couch Spaghetti & Meatballs,65
Total Events of Sent,1996_Hope your Birthday is Sprinkled With Joy Spaghetti & Meatballs,3412
Total Events of Sent,1997_Yay Happy Birthday Spaghetti & Meatballs,5892
Total Events of Sent,1999_HBD Spaghetti & Meatballs,387
Total Events of Sent,2007_Happy Birthday Katie Benn Cars,480
Total Events of Sent,2015_Happy Birthday To My Bestie Paper&Stuff,189
Total Events of Sent,2016_Birthday Cake lines Paper&Stuff,336
Total Events of Sent,2017_Happy Half Birthday Paper&Stuff,4
Total Events of Sent,2032_Happy Birthday Priyanka Darlin Black Floral,76
Total Events of Sent,2033_Happy Birthday Priyanka Darlin Green Floral,134
Total Events of Sent,2042_Lets Celebrate Bring All The Cakes Sakina Saidi,12
Total Events of Sent,2054_Another Trip Around The Sun Matt Joyce,670
Total Events of Sent,2075_Its Your Birthday Sip Back and Relax Amy Zhang,1806
Total Events of Sent,207_Hi Hop Ashley Le Quere,12
Total Events of Sent,2083_Sorry I Focaccia Birthday Amy Zhang,23
Total Events of Sent,2084_Youre Aging To Perfection Amy Zhang,54
Total Events of Sent,2099_Happy Birthday Meinhass Archives,1412
Total Events of Sent,2104_Birthday Girl Dinner Brittany Paige,134
Total Events of Sent,2118_Happy Birthday Dicky Bird,1647
Total Events of Sent,2133_Better Late Than Really Really Late Giulia Hartz,86
Total Events of Sent,2144_Happy Birthday You Party Animal Amy Zhnag,784
Total Events of Sent,2174_Have a very demure very mindful birthday Kat,25
Total Events of Sent,2222_Happy Birthday Dad Ashley Le Quere,21
Total Events of Sent,2223_I See Cake In Your Future Ashley Le Quere,296
Total Events of Sent,2224_Have a Fun Filled Birthday Ashley Le Quere,407
Total Events of Sent,2225_30 Ashley Le Quere,44
Total Events of Sent,2226_21 Ashley Le Quere,36
Total Events of Sent,2229_Sister Ashley Le Quere,98
Total Events of Sent,2230_Brother Ashley Le Quere,18
Total Events of Sent,2241_Happy 100 Days,3
Total Events of Sent,2265_Your Birthday> Tiktoks Comeback Kat Rodman,192
Total Events of Sent,2266_Have An Elephantastic Birthday Matt Jouyce,29
Total Events of Sent,2267_Youre The Cats Pyjamas Matt Joyce,11
Total Events of Sent,2270_Time to Party by Triangulos by Melanie Johnsson,270
Total Events of Sent,2279_Happy Birthday from All of Us Lauren Heydt,904
Total Events of Sent,2297_Happy Belated Birthday Aviva Atri,1195
Total Events of Sent,2328_Best Birthday Gal Melanie Johnsson,106
Total Events of Sent,2330_Birthday Cutie - Melanie Johnsson,115
Total Events of Sent,2331_Happy Birthday!!! - Melanie Johnsson,129
Total Events of Sent,2332_Birthday Wishes Melanie Johnsson,3979
Total Events of Sent,2333_Green Cupcake Melanie Johnsson,369
Total Events of Sent,2334_Happy Bday Doggy Melanie Johnsson,1664
Total Events of Sent,2336_Happy B-day Balloon Melanie Johnsson,1058
Total Events of Sent,2337_Happy Bday Confetti Melanie Johnsson,150
Total Events of Sent,2339_An Amazing Bday Melanie Johnsson,79
Total Events of Sent,2340_Hooray Birthday Melanie Johnsson,33
Total Events of Sent,2341_Just For You Melanie Johnsson,102
Total Events of Sent,2342_Blue Bday Cake Melanie Johnsson,12
Total Events of Sent,2343_Magical Bday Cutie Melanie Johnsson,36
Total Events of Sent,2344_Party Train Melanie Johnsson,26
Total Events of Sent,2345_Paw-ty Time Melanie Johnsson,73
Total Events of Sent,2346_Smiley Cupcake Melanie Johnsson,260
Total Events of Sent,2349_Treat Yourself Melanie Johnsson,262
Total Events of Sent,2350_For My Fav Showgirl - Lauren Heydt,60
Total Events of Sent,2351_The Life of a Showgirl Checklist - Lauren Heydt,3
Total Events of Sent,2419_Treat On Me Pink - Green Paper Co.,113
Total Events of Sent,2420_Treat On Me Green - Green Paper Co.,13
Total Events of Sent,2421_Here's a Lil Treat - Green Paper Co.,111
Total Events of Sent,2422_A lil something for you - Green Paper Co.,182
Total Events of Sent,2426_I Love You In All Your Forms - Green Paper Co.,5
Total Events of Sent,2428_,5
Total Events of Sent,2428_Still Waiting for ChatGPT to Explain how you put up with me this long - Melanie Johnsson,21
Total Events of Sent,2430_Forever Together Penguin - Melanie Johnsson,12
Total Events of Sent,2431_I love you ssssoooo much,17
Total Events of Sent,2432_Talk Russian to Me - Green Paper Co.,4
Total Events of Sent,2433_Ya Lyublyu Tebya I Love You In Russian - Green Paper Co.,2
Total Events of Sent,2434_You're the Shane to my Ilya - Green Paper Co.,2
Total Events of Sent,2435_Can we please watch Heated Rivalry - Green Paper Co.,18
Total Events of Sent,2436_Help I'm Still at the Cottage,13
Total Events of Sent,2439_I Love You So Much - In Good Company,84
Total Events of Sent,2440_Thanks for Always Matching My Freak - In Good Company,100
Total Events of Sent,2441_may olive your birthday wishes come true sydney sebastian,48
Total Events of Sent,2442_I Love to See You Smile,44
Total Events of Sent,2444_You Love Well - Lauren Heydt,8
Total Events of Sent,2445_Just Thought You Should Know That You Smell Really Good,4
Total Events of Sent,2446_I Could Talk to You For Hours and Hours - Lauren Heydt,18
Total Events of Sent,2449_Puppy Love - Spaghetti & Meatballs,1
Total Events of Sent,2451_I Love You Boo Boo,5
Total Events of Sent,2453_Be My Valentine - In Good Company,9
Total Events of Sent,2457_You Have My Heart - In Good Company,1
Total Events of Sent,257_Confetti Pantone,53
Total Events of Sent,260_Fiesta Pantone,2
Total Events of Sent,269_Rose Bouquet Pantone,13
Total Events of Sent,286_Happy Birthday Adelfi,576
Total Events of Sent,28_Let's Get Lit minna so,83
Total Events of Sent,293_Alexa Skip My Birthday Spaghetti & Meatballs,45
Total Events of Sent,294_Happy Birthday Bad Ass Spaghetti & Meatballs,235
Total Events of Sent,295_Big Bday Energy Spaghetti & Meatballs,53
Total Events of Sent,299_Happy Birthday Abstract Spaghetti & Meatballs,184
Total Events of Sent,29_Lets Party Minna So,515
Total Events of Sent,300_Happy Birthday to YOU Spaghetti & Meatballs,78
Total Events of Sent,312_AInt no birthday laws Spaghetti & Meatballs,185
Total Events of Sent,328_Happy Birthday brook gossen  Red and Yellow Abstract,339
Total Events of Sent,33_kisses mj,48
Total Events of Sent,358_Its all about you today Grow Mija,36
Total Events of Sent,35_ohlala Melanie Johnsson,34
Total Events of Sent,368_Celebrate nb + crew,67
Total Events of Sent,369_Happy Birthday Isabella Humphrey Dogs,437
Total Events of Sent,370_Fantabulous bday Isabella Humphrey,34
Total Events of Sent,373_Have the sweetest birthhday Isabella Humphrey,497
Total Events of Sent,378_happy birthday plays softly in the distance Julia Walck,118
Total Events of Sent,379_Let them eat cake Julia Walck,404
Total Events of Sent,380_A virtual bouquet Julia Walck,125
Total Events of Sent,408_Yay all day khali amanda,162
Total Events of Sent,40_make a wish zoe wodarz,72
Total Events of Sent,41_youre a gem Zoe Wodarz,45
Total Events of Sent,421_Good clean fun Ashley Le Quere,26
Total Events of Sent,422_Happy Birthday Ashley Le Quere slice,710
Total Events of Sent,424_Let's Party Ashley Le Quere Hat,174
Total Events of Sent,469_Aquarius Faye Guanipa,252
Total Events of Sent,470_Virgo Faye Guanipa,238
Total Events of Sent,471_Taurus Faye Guanipa,425
Total Events of Sent,472_Scorpio Faye Guanipa,14
Total Events of Sent,473_sagittarius Faye Guanipa,21
Total Events of Sent,474_Pisces Faye Guanipa,643
Total Events of Sent,475_Libra Faye Guanipa,11
Total Events of Sent,476_Leo Faye Guanipa,84
Total Events of Sent,477_Gemini Faye Guanipa,230
Total Events of Sent,478_Capricorn faye guanipa,15
Total Events of Sent,479_Cancer Faye Guanipa,215
Total Events of Sent,480_Aries Faye Guanipa,183
Total Events of Sent,50_his and hers jaclyn Caris,8
Total Events of Sent,512_Let's Paw-ty Oscar Tapeswing,442
Total Events of Sent,514_Birthday Dude Oscar tapeswing,575
Total Events of Sent,516_Happy Birthday Oscar Tapeswing,608
Total Events of Sent,537_We're So Drunk Eating Tonight Brittany Paige,24
Total Events of Sent,540_Tequila Party Brittany Paige,515
