Metric,Card Name,"Jan 12 2025, 12:00AM - Jan 7 2026, 8:39AM","Jan 19 2025, 12:00AM - Jan 14 2026, 8:39AM"
Total Events of Sent,1848_Love You To The Moon Jacqueline Colley,250,245
Total Events of Sent,2349_Treat Yourself Melanie Johnsson,250,256
Total Events of Sent,1871_Hope Your Birthday is A Blast Karen Schipper,248,243
Total Events of Sent,171_It's Your Day Ashley Le Quere,246,235
Total Events of Sent,2346_Smiley Cupcake Melanie Johnsson,241,246
Total Events of Sent,1442_Happy Galentine's Day To My Favorite Melanie Johnsson,240,240
Total Events of Sent,36_thank you for being you Melanie Johnsson,240,235
Total Events of Sent,1862_You Are So Loved Lauren Marina,239,237
Total Events of Sent,1895_Happy Birthday Dicky Bird Cake,237,238
Total Events of Sent,1778_Happy New Year Katie Benn,236,236
Total Events of Sent,470_Virgo Faye Guanipa,236,236
Total Events of Sent,543_Love You Mom Faye Guanipa,236,236
Total Events of Sent,2244_And They Lived Happily Ever After Ashley Le Quere,234,232
Total Events of Sent,1988_Hoppy Easter Spaghetti & Meatballs,233,233
Total Events of Sent,2111_No Tricks All Treats Jillian Goeler,233,233
Total Events of Sent,170_Here's a Cake Ashley Le Quere,232,240
Total Events of Sent,477_Gemini Faye Guanipa,231,231
Total Events of Sent,1269_Have A Delightful Birthday Ash & Chess Cakes,230,228
Total Events of Sent,1539_Happy Easter Hemlock House Studio,229,229
Total Events of Sent,1894_Happy Birthday Dicky Bird Burger,229,229
Total Events of Sent,294_Happy Birthday Bad Ass Spaghetti & Meatballs,229,230
Total Events of Sent,1258_Happy Birthday Grow Mija Pink Cake,227,228
Total Events of Sent,210_Thank You Brook Gossen,226,227
Total Events of Sent,1380_Birthday Dogs Faye Gunipa,225,222
Total Events of Sent,2270_Time to Party by Triangulos by Melanie Johnsson,225,230
Total Events of Sent,1952_August Baby Kerrie McNeill,224,224
Total Events of Sent,1059_Thank You Adelfi,223,221
Total Events of Sent,870_Belated Bday Jasmina zornic,223,218
Total Events of Sent,1364_Deepest Sympathy Hemlock House Studio,222,221
Total Events of Sent,299_Happy Birthday Abstract Spaghetti & Meatballs,221,216
Total Events of Sent,1520_Time For Cake Sakina Saidi,220,206
Total Events of Sent,1605_Thank you for being a friend mimi moffie,219,215
Total Events of Sent,359_Hugs Hugs Hugs Zoe Wodarz,219,220
Total Events of Sent,665_Belated Bday Fion Koh,219,215
Total Events of Sent,1519_Thank You French Toast Studio,215,217
Total Events of Sent,479_Cancer Faye Guanipa,215,215
Total Events of Sent,710_SIS Jasmina Zornic,215,217
Total Events of Sent,1064_Happy Mother's Day To My Bestie Hood Greetings,213,213
Total Events of Sent,784_Merry & Bright Leena Kisonen,213,213
Total Events of Sent,1409_Congrats Clay Hickson Confetti Balloons,212,206
Total Events of Sent,1544_Time For Bday Cake Antonay Studio,211,202
Total Events of Sent,1601_To The Best Dad Happy Fathers Day Karen Schipper,209,209
Total Events of Sent,877_Shake Shake Shake It's Your Birthday melanie johnsson,205,200
Total Events of Sent,1407_Happy Birthday Clay Hickson Cake,204,197
Total Events of Sent,1742_Christmas Is Giving Giulia Hartz,204,204
Total Events of Sent,2383_Happy Thanksgiving - Spaghetti & Meatballs,204,204
Total Events of Sent,2302_Happy Anniversary Aviva Atri,203,205
Total Events of Sent,752_Wreath Zoe wodarz,203,203
Total Events of Sent,1224_Hello Love You Miss You Thinking of You Sophie Potter Flowers,202,196
Total Events of Sent,2015_Happy Birthday To My Bestie Paper&Stuff,202,198
Total Events of Sent,1063_You + Me Name A More Iconic Duo Hood Greetings,200,199
Total Events of Sent,1753_New Year New Memories Melanie Johnsson,199,200
Total Events of Sent,1993_Hittin The Clubs Spaghetti & Meatballs,199,199
Total Events of Sent,1018_Happy Easter Forage Paper Co.,198,198
Total Events of Sent,1071_Party Jacqueline Colley Confetti Popper,198,197
Total Events of Sent,1362_Hope You Feel Better Soon Karen Schipper,198,196
Total Events of Sent,1893_Hello Baby Dicky Bird,197,194
Total Events of Sent,1967_Love Love Love Nysha Lilly,192,191
Total Events of Sent,236_Merry christmas & happy new year brook gossen,192,193
Total Events of Sent,312_AInt no birthday laws Spaghetti & Meatballs,192,189
Total Events of Sent,1185_Merci Priyanka Darlin' Flowers,190,190
Total Events of Sent,1946_July Baby Kerrie McNeill,190,190
Total Events of Sent,602_Ancient History Giulia Hartz,190,187
Total Events of Sent,548_Happy Mother's Day Opal Thirteen Bouquet,189,189
Total Events of Sent,1184_Thank You Priyanka Darlin' Flowers,187,215
Total Events of Sent,1568_If I could choose I'd still pick you to be my mom Karen Schipper,187,186
Total Events of Sent,2265_Your Birthday> Tiktoks Comeback Kat Rodman,187,190
Total Events of Sent,1183_Happy Anniversary AnalogbyNat,186,182
Total Events of Sent,480_Aries Faye Guanipa,184,184
Total Events of Sent,737_Happy Holidays Dude oscar tapeswing,184,183
Total Events of Sent,1629_Party Animals Rumble Cards x Ashley Le Quere,183,180
Total Events of Sent,1677_Welcome Little One Adelfi,183,184
Total Events of Sent,1985_Cheers To You Babe Jaclyn Caris,183,186
Total Events of Sent,1164_Super Happy Anniversary Priyanka Darlin',182,181
Total Events of Sent,1867_Love Forage Paper Co,180,179
Total Events of Sent,2290_You are Crushing It - Lauren Heydt,180,186
Total Events of Sent,1448_Thinkin' Bout You Jaclyn Caris Hearts,179,178
Total Events of Sent,1874_Happy Valentine's Day Karen Schipper,179,179
Total Events of Sent,927_Thank You Wreath Amy Zhang,178,179
Total Events of Sent,1019_Get Well Soon Forage Paper Co.,176,169
Total Events of Sent,1652_I'm Sorry Lazy Disco,176,175
Total Events of Sent,1145_Dear Bestie You Deserve The World I Hope You Know That Yolanda Poh,175,174
Total Events of Sent,1567_#1 Mom Jasmina Zornic,175,175
Total Events of Sent,1622_Paper Hugs Rumble Cards,175,171
Total Events of Sent,1634_Lost Count Rumble Cards x Ashley Le Quere,175,172
Total Events of Sent,1020_Happy Birthday Handsome Forage Paper Co.,174,176
Total Events of Sent,1468_Why You So Cute Though,174,172
Total Events of Sent,1700_Aviva Atri Pink Bow,174,177
Total Events of Sent,2348_Rainbow Thanks Melanie Johnsson,174,179
Total Events of Sent,424_Let's Party Ashley Le Quere Hat,173,173
Total Events of Sent,1907_To The Best Pops on Father's Day,172,172
Total Events of Sent,1591_Good Morning Lydia Burton,169,166
Total Events of Sent,1958_Happy Galentine's Day Nysha Lilly,169,169
Total Events of Sent,1995_Hello Baby Spaghetti & Meatballs,169,167
Total Events of Sent,771_Cheers To The New Year Ashley le Quere,169,168
Total Events of Sent,408_Yay all day khali amanda,168,168
Total Events of Sent,284_Thank You Adelfi,167,167
Total Events of Sent,1411_Happy Valentine's Day Clay Hickson,164,164
Total Events of Sent,1780_Happy New Year AliRae Aguirre,164,165
Total Events of Sent,2248_Merry Merry Merry Paper&Stuff,163,163
Total Events of Sent,595_hi hi hi Brook Gossen,163,162
Total Events of Sent,739_Candy Cane Zoe wodarz,163,163
Total Events of Sent,1257_Together In Spirit Happy Thanksgiving Forage Paper Co.,162,162
Total Events of Sent,1909_Let's Eat Cake Folio,162,164
Total Events of Sent,1102_Let's Ketchup Sending You A Squeeze! Amy Zhang Ketchup Bottle,160,157
Total Events of Sent,2097_Hello Meinhass Archives,160,160
Total Events of Sent,1092_Thank You Very Much Lauren Marina,159,156
Total Events of Sent,1336_Happy Bday paper&stuff Dots,158,153
Total Events of Sent,2063_Thanks For Your hard Work Melanie Johnsson,158,158
Total Events of Sent,671_Gift Surprise olga ambrosova,158,162
Total Events of Sent,1855_Forever Together Melanie Johnsson,157,157
Total Events of Sent,1014_So Lucky To Have You Amy Zhang,156,156
Total Events of Sent,1105_Happy Graduation Day To You Mèlanie Johnsson,155,155
Total Events of Sent,1252_Have A Cracking Day! Matt Joyce,155,146
Total Events of Sent,1625_I Love Every Pizza You Rumble Cards x Susie Hammer,155,154
Total Events of Sent,1709_It's co-coa-cold outside Amy Zhang,154,143
Total Events of Sent,1749_Graduating What Like Its Hard Brittany Paige,154,152
Total Events of Sent,933_Inhale Exhale PosterLad,154,142
Total Events of Sent,1115_Love You Dad paper&stuff,153,153
Total Events of Sent,1293_The Three Wisemen Spaghetti & Meatballs,153,153
